boosted_cb_model__iterations,boosted_cb_model__learning_rate,boosted_cb_model__max_depth,boosted_cb_model__num_leaves,avg_mccv_accuracy,avg_mccv_sensitivity,avg_mccv_specificity,avg_mccv_f1
50,0.01,3,8,0.892258064516129,0.8799999999999999,0.8976744186046512,0.8348528505138169
50,0.01,3,16,0.892258064516129,0.8799999999999999,0.8976744186046512,0.8348528505138169
50,0.01,6,8,0.8851612903225805,0.8799999999999999,0.8874418604651164,0.8257295096852366
50,0.01,6,16,0.8864516129032257,0.8799999999999999,0.8893023255813953,0.8269848102127697
50,0.1,3,8,0.8870967741935484,0.8799999999999999,0.890232558139535,0.8283470559987859
50,0.1,3,16,0.8870967741935484,0.8799999999999999,0.890232558139535,0.8283470559987859
50,0.1,6,8,0.8883870967741935,0.871578947368421,0.8958139534883722,0.8284237202802447
50,0.1,6,16,0.881290322580645,0.8589473684210526,0.8911627906976746,0.8170376443460003
100,0.01,3,8,0.8903225806451612,0.8799999999999999,0.8948837209302326,0.8322926298028156
100,0.01,3,16,0.8903225806451612,0.8799999999999999,0.8948837209302326,0.8322926298028156
100,0.01,6,8,0.8896774193548386,0.8757894736842106,0.8958139534883722,0.8303240034761663
100,0.01,6,16,0.8877419354838709,0.8757894736842106,0.8930232558139535,0.8283454485386599
100,0.1,3,8,0.8774193548387096,0.8589473684210526,0.8855813953488372,0.8120766519475402
100,0.1,3,16,0.8774193548387096,0.8589473684210526,0.8855813953488372,0.8120766519475402
100,0.1,6,8,0.8716129032258064,0.8357894736842104,0.8874418604651164,0.7997681174783005
100,0.1,6,16,0.8696774193548386,0.8252631578947367,0.8893023255813953,0.7952837283685313
