bagged_rf_model__criterion,bagged_rf_model__max_depth,bagged_rf_model__min_samples_leaf,bagged_rf_model__n_estimators,avg_mccv_accuracy,avg_mccv_sensitivity,avg_mccv_specificity,avg_mccv_f1
gini,3,5,100,0.8838709677419354,0.8736842105263157,0.8883720930232559,0.8230102595102444
gini,3,5,200,0.8858064516129031,0.8778947368421052,0.8893023255813953,0.8262060145237146
gini,3,10,100,0.8858064516129032,0.8926315789473683,0.8827906976744186,0.8287940115796342
gini,3,10,200,0.881290322580645,0.8926315789473683,0.876279069767442,0.8234595839390298
gini,6,5,100,0.8858064516129032,0.8736842105263157,0.8911627906976746,0.8255204298494143
gini,6,5,200,0.884516129032258,0.8757894736842106,0.8883720930232559,0.8243700022338706
gini,6,10,100,0.8870967741935484,0.8926315789473683,0.8846511627906978,0.8305017378406041
gini,6,10,200,0.881290322580645,0.8926315789473683,0.876279069767442,0.8234595839390298
entropy,3,5,100,0.8864516129032257,0.8757894736842106,0.8911627906976745,0.8264359672969996
entropy,3,5,200,0.8896774193548386,0.8778947368421052,0.8948837209302327,0.8310424699844051
entropy,3,10,100,0.8858064516129031,0.8863157894736843,0.8855813953488372,0.82767812199421
entropy,3,10,200,0.8838709677419352,0.888421052631579,0.881860465116279,0.8259531832236849
entropy,6,5,100,0.8864516129032257,0.871578947368421,0.8930232558139535,0.825902086274657
entropy,6,5,200,0.8877419354838709,0.8757894736842106,0.8930232558139535,0.8282598286606406
entropy,6,10,100,0.8864516129032257,0.8863157894736843,0.8865116279069768,0.8285073902868928
entropy,6,10,200,0.8838709677419352,0.888421052631579,0.881860465116279,0.8259531832236849
