boosted_lgbm_model__learning_rate,boosted_lgbm_model__min_child_samples,boosted_lgbm_model__n_estimators,boosted_lgbm_model__num_leaves,avg_mccv_accuracy,avg_mccv_sensitivity,avg_mccv_specificity,avg_mccv_f1
0.01,3,50,8,0.8638709677419355,0.6589473684210526,0.9544186046511628,0.7430726855624988
0.01,3,50,16,0.850967741935484,0.6,0.9618604651162791,0.7033403888165818
0.01,3,100,8,0.8806451612903224,0.8000000000000002,0.9162790697674419,0.8025365874833554
0.01,3,100,16,0.8709677419354839,0.7410526315789474,0.9283720930232557,0.7747408264393562
0.01,6,50,8,0.8548387096774194,0.616842105263158,0.9599999999999999,0.7151250653954156
0.01,6,50,16,0.8490322580645162,0.5978947368421053,0.9599999999999999,0.6990218789480166
0.01,6,100,8,0.8819354838709677,0.7957894736842106,0.92,0.801721698971888
0.01,6,100,16,0.8819354838709679,0.791578947368421,0.9218604651162791,0.8009244697310968
0.1,3,50,8,0.8658064516129031,0.8021052631578947,0.8939534883720931,0.7843022757353875
0.1,3,50,16,0.8541935483870968,0.7557894736842106,0.8976744186046511,0.7597564897732113
0.1,3,100,8,0.8554838709677419,0.7621052631578946,0.8967441860465116,0.7630125953014572
0.1,3,100,16,0.8529032258064517,0.743157894736842,0.9013953488372093,0.754589251565651
0.1,6,50,8,0.8619354838709676,0.8021052631578948,0.8883720930232557,0.7797346932432148
0.1,6,50,16,0.8638709677419354,0.7894736842105263,0.8967441860465116,0.7792978303277558
0.1,6,100,8,0.856774193548387,0.7621052631578948,0.8986046511627908,0.7640585692376107
0.1,6,100,16,0.8458064516129032,0.7305263157894737,0.8967441860465116,0.7420203629441258
